"","inter","n.slope","qd","tau"
"1",0.57968883899872,0.0435246028776769,0.000959660511047277,987.016725306552
"2",0.550629489530265,0.0423134487512539,0.000969388673852597,994.832243600017
"3",0.561769842730848,0.0432377533694425,0.000984338499194505,1026.43913330768
"4",0.566602389778209,0.0442405665806756,0.00098085430155606,994.940166423314
"5",0.561957385904629,0.0436617299688064,0.000992601285820497,1011.66241804668
"6",0.591279148964372,0.0444668501619449,0.0010027855786347,994.581339758778
"7",0.599843034476266,0.0451115858081848,0.000976630230217312,987.843075122128
"8",0.549295166064173,0.0434121214138635,0.00100041727124226,1001.16868184189
"9",0.576393034708719,0.0451989754812218,0.00101497880611864,966.747096358345
"10",0.564494490401895,0.0444570655957979,0.00100169496717875,1012.842651417
"11",0.584086245542811,0.04582161260555,0.00102004080836097,1011.09948677417
"12",0.600061871808466,0.046601767292993,0.00103078797578706,1033.25978533913
"13",0.61080445992914,0.0464299485459796,0.00101160958432271,1026.1916242142
"14",0.64135492511077,0.0477461930774212,0.00102210618277726,998.218078908361
"15",0.663811942650367,0.0491639515323733,0.00105566903634117,1006.94704456053
"16",0.643347550704495,0.0496711017783258,0.00108740478921394,1002.21462426788
"17",0.62695269861324,0.0497275596712889,0.00111671651582124,981.587520583767
"18",0.641480491328962,0.0503462303547922,0.00107596664533275,1019.84752970265
"19",0.647820265633508,0.0512405432664132,0.00110792815213239,968.387945912638
"20",0.594986268595223,0.0510242812704367,0.0011891146840526,1022.80961761508
"21",0.625272119527544,0.049725602691271,0.00110157370803119,1014.13881135111
"22",0.606237878105339,0.0483998305656549,0.0010783399872733,976.665968972724
"23",0.593317602067007,0.0471364374683396,0.00106291739251545,1005.23741956482
"24",0.585046599603834,0.046385659485995,0.00106254387355976,1041.97054239069
"25",0.563385732984097,0.0465066221068085,0.00106907108785203,976.187179141341
"26",0.56545325880496,0.0450973314600068,0.00102301967075007,1000.14066975522
"27",0.582925381874774,0.0454660936301017,0.00101661695961883,1022.11663789406
"28",0.544979530466196,0.0439738646615072,0.00101722057238102,1017.25833811599
"29",0.54480053769737,0.0445151443176195,0.00102831019966913,965.632827268536
"30",0.534861636712836,0.0421297347161408,0.000985255931263601,984.528112730672
"31",0.514287555260469,0.0404189302731336,0.000966802303034955,1010.75652519201
"32",0.537766104537433,0.0407094318968416,0.000921184152651894,1000.39876142222
"33",0.557327384124482,0.0417667652930811,0.00094163471786139,982.666659609844
"34",0.53710369447041,0.0413926217358187,0.000942544208135598,979.918538243209
"35",0.546020412547846,0.0410166058661338,0.000946345711786969,937.549381531767
"36",0.543405051519456,0.0416009723185949,0.000955920362593258,985.991988085462
"37",0.519414920672241,0.0406418867629891,0.000930719110844329,989.329991404823
